id,objet,variable,valeur,operateur,date,annotations,fichier,methode,groupe_variables,heure,commentaire,code,type,parent,surface,cepage,clone_cepage,portegreffe,clone_portegreffe,date_debut,date_fin,densite_plantation,orientation,entre_rangs,entre_ceps,mode_conduite,systeme_taille,nb_rangs,nb_souches,piquets,geometry,description,surgreffage,rang,position_rang,groupeAccess,nom,region,type_sol,cadastre,profondeur_sol,adresse,label,systeme_irrigation,date_install_si
80899,57-MERLOT,Irrigation,5.1,davide.pisano,2017-06-19,\N,\N,Calcul,Irrigation,\N,NA,57-MERLOT,parcelle,57,0.55309999,\N,\N,SO4 = Sélection Oppenheim 4,\N,2004-05-01 00:00:00,\N,\N,\N,2.5,1,espalier,cordon,\N,2229,bois,01030000206A0800000100000010000000D2817574D5B22541EA435E3955C15741EA68F753F4B225418842706653C15741A942FA47EDB22541B2DEB37151C15741916E2F6903B32541BF5DEE0D50C1574177D88C7606B3254123BB17C350C15741569DA1E20AB3254195EBBD8850C15741145E38E80FB32541904B50AF51C157412D7ACF874EB3254172BEB41E4EC15741ECFB749553B3254162653FE14DC15741DD2711004DB32541A4A6CCCB4BC15741B61A4D4352B32541E5D109C84BC15741D6E5DBB613B325416A3C5F0B3BC15741C5DDD113B4B22541D1C1EA8D40C15741D4F7F834C0B22541248021CB43C157419EE08F1A9CB225417A370BF945C15741D2817574D5B22541EA435E3955C15741,2229pds;surgreffage 10rg variete vin faibles degres le 06/07/2010,f,\N,\N,public,\N,Littorale,NA,NA,\N,NA,traitement,t,\N
80900,57-MERLOT,Irrigation,3.7,jj.regadera,2017-06-22,\N,\N,Calcul,Irrigation,\N,NA,57-MERLOT,parcelle,57,0.55309999,\N,\N,SO4 = Sélection Oppenheim 4,\N,2004-05-01 00:00:00,\N,\N,\N,2.5,1,espalier,cordon,\N,2229,bois,01030000206A0800000100000010000000D2817574D5B22541EA435E3955C15741EA68F753F4B225418842706653C15741A942FA47EDB22541B2DEB37151C15741916E2F6903B32541BF5DEE0D50C1574177D88C7606B3254123BB17C350C15741569DA1E20AB3254195EBBD8850C15741145E38E80FB32541904B50AF51C157412D7ACF874EB3254172BEB41E4EC15741ECFB749553B3254162653FE14DC15741DD2711004DB32541A4A6CCCB4BC15741B61A4D4352B32541E5D109C84BC15741D6E5DBB613B325416A3C5F0B3BC15741C5DDD113B4B22541D1C1EA8D40C15741D4F7F834C0B22541248021CB43C157419EE08F1A9CB225417A370BF945C15741D2817574D5B22541EA435E3955C15741,2229pds;surgreffage 10rg variete vin faibles degres le 06/07/2010,f,\N,\N,public,\N,Littorale,NA,NA,\N,NA,traitement,t,\N
80901,57-MERLOT,Irrigation,3.2,jj.regadera,2017-06-23,\N,\N,Calcul,Irrigation,\N,NA,57-MERLOT,parcelle,57,0.55309999,\N,\N,SO4 = Sélection Oppenheim 4,\N,2004-05-01 00:00:00,\N,\N,\N,2.5,1,espalier,cordon,\N,2229,bois,01030000206A0800000100000010000000D2817574D5B22541EA435E3955C15741EA68F753F4B225418842706653C15741A942FA47EDB22541B2DEB37151C15741916E2F6903B32541BF5DEE0D50C1574177D88C7606B3254123BB17C350C15741569DA1E20AB3254195EBBD8850C15741145E38E80FB32541904B50AF51C157412D7ACF874EB3254172BEB41E4EC15741ECFB749553B3254162653FE14DC15741DD2711004DB32541A4A6CCCB4BC15741B61A4D4352B32541E5D109C84BC15741D6E5DBB613B325416A3C5F0B3BC15741C5DDD113B4B22541D1C1EA8D40C15741D4F7F834C0B22541248021CB43C157419EE08F1A9CB225417A370BF945C15741D2817574D5B22541EA435E3955C15741,2229pds;surgreffage 10rg variete vin faibles degres le 06/07/2010,f,\N,\N,public,\N,Littorale,NA,NA,\N,NA,traitement,t,\N
79921,57-VDQA-G05-B,TotalAcidity,3.92,emmanuelle.zumstein,2016-08-31,\N,\N,Electrotitrimetrie,Maturite,\N,NA,57-VDQA-G05-B,sous-parcelle-culturale,57-MERLOT,0.024499999,\N,\N,SO4 = Sélection Oppenheim 4,\N,2010-06-01 00:00:00,\N,\N,\N,2.5,1,espalier,guyot,\N,96,bois,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
79922,57-VDQA-G14-N,TotalAcidity,4.98,emmanuelle.zumstein,2016-08-31,\N,\N,Electrotitrimetrie,Maturite,\N,NA,57-VDQA-G14-N,sous-parcelle-culturale,57-MERLOT,0.0218,\N,\N,SO4 = Sélection Oppenheim 4,\N,2010-06-01 00:00:00,\N,\N,\N,2.5,1,espalier,guyot,\N,87,bois,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
79983,57-VDQA-G14-N,DegreBrix,19.8,emmanuelle.zumstein,2016-08-31,\N,\N,Refractometrie,Maturite,\N,NA,57-VDQA-G14-N,sous-parcelle-culturale,57-MERLOT,0.0218,\N,\N,SO4 = Sélection Oppenheim 4,\N,2010-06-01 00:00:00,\N,\N,\N,2.5,1,espalier,guyot,\N,87,bois,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
80086,57-VDQA-G14-N,Sucres,189.7,emmanuelle.zumstein,2016-08-31,\N,\N,Abaque,Maturite,\N,NA,57-VDQA-G14-N,sous-parcelle-culturale,57-MERLOT,0.0218,\N,\N,SO4 = Sélection Oppenheim 4,\N,2010-06-01 00:00:00,\N,\N,\N,2.5,1,espalier,guyot,\N,87,bois,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
83670,57-VDQA-G09-B,TotalAcidity,5.88,emmanuelle.zumstein,2016-08-31,\N,\N,Electrotitrimetrie,Maturite,\N,NA,57-VDQA-G09-B,sous-parcelle-culturale,57-MERLOT,\N,\N,\N,SO4 = Sélection Oppenheim 4,\N,2014-06-05 00:00:00,\N,\N,\N,2.5,1,\N,\N,\N,146,\N,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
83671,57-VDQA-G09-B,TotalAcidity,4.35,emmanuelle.zumstein,2016-09-06,\N,\N,Electrotitrimetrie,Maturite,\N,NA,57-VDQA-G09-B,sous-parcelle-culturale,57-MERLOT,\N,\N,\N,SO4 = Sélection Oppenheim 4,\N,2014-06-05 00:00:00,\N,\N,\N,2.5,1,\N,\N,\N,146,\N,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
83673,57-VDQA-G09-B,AlcoolProbable,8.6,emmanuelle.zumstein,2016-08-31,\N,\N,Abaque,Maturite,\N,NA,57-VDQA-G09-B,sous-parcelle-culturale,57-MERLOT,\N,\N,\N,SO4 = Sélection Oppenheim 4,\N,2014-06-05 00:00:00,\N,\N,\N,2.5,1,\N,\N,\N,146,\N,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
